home |home |homes,2014100223,8580,37,0.004312354312354313
home |home |homes,2014100222,12009,58,0.004829711050045799
home |home |homes,2014100221,14828,44,0.002967359050445104
home |home |homes,2014100220,15090,56,0.0037110669317428763
home |home |homes,2014093023,7216,39,0.0054046563192904655
home |home |homes,2014093020,2478,32,0.0129136400322841
home |home |homes,2014093022,2524,12,0.004754358161648178
home |home |homes,2014093021,2547,22,0.008637612877895563
home |home |homes,2014100321,9080,52,0.005726872246696035
home |home |homes,2014100322,8671,39,0.004497751124437781
home |home |homes,2014100320,9381,40,0.004263937746508901
home |home |homes,2014100323,6929,41,0.005917159763313609
home |home |homes,2014100123,8836,32,0.0036215482118605704
home |home |homes,2014100122,10378,57,0.005492387743303141
home |home |homes,2014100121,12311,60,0.004873690195759889
home |home |homes,2014100200,11724,19,0.0016206073012623677
home |home |homes,2014100201,6861,15,0.0021862702229995625
home |home |homes,2014100309,9997,56,0.005601680504151245
home |home |homes,2014100307,6926,26,0.003753970545769564
home |home |homes,2014100204,8387,37,0.0044115893644926674
home |home |homes,2014100308,8532,35,0.004102203469292077
home |home |homes,2014100205,14882,33,0.002217443891950007
home |home |homes,2014100305,3838,9,0.002344971339239187
home |home |homes,2014100202,5853,267,0.04561763198359815
home |home |homes,2014100306,5526,20,0.003619254433586681
home |home |homes,2014100203,5613,104,0.018528416176732586
home |home |homes,2014100303,5043,14,0.002776125322228832
home |home |homes,2014100208,9640,38,0.003941908713692946
home |home |homes,2014100304,4725,9,0.0019047619047619048
home |home |homes,2014100209,12321,46,0.0037334631929226525
home |home |homes,2014100301,4480,11,0.002455357142857143
home |home |homes,2014100206,9203,39,0.004237748560252092
home |home |homes,2014100302,8095,15,0.0018529956763434219
home |home |homes,2014100207,9445,69,0.007305452620434092
home |home |homes,2014100300,6707,16,0.0023855673177277472
home |home |homes,2014100106,45483,64,0.0014071191434162215
home |home |homes,2014100105,7742,7,9.041591320072332E-4
home |home |homes,2014100104,8731,3,3.436032527774596E-4
home |home |homes,2014100103,1127,0,0.0
home |home |homes,2014100102,2940,9,0.003061224489795918
home |home |homes,2014100101,3598,8,0.0022234574763757642
home |home |homes,2014100100,1816,5,0.0027533039647577094
home |home |homes,2014100109,10999,43,0.003909446313301209
home |home |homes,2014100108,14670,48,0.0032719836400817996
home |home |homes,2014100107,32104,26,8.098679292300025E-4
home |home |homes,2014100210,10300,58,0.005631067961165049
home |home |homes,2014100211,11008,46,0.0041787790697674415
home |home |homes,2014100212,11567,45,0.003890377798910694
home |home |homes,2014100316,10537,51,0.00484008731137895
home |home |homes,2014100213,10976,41,0.003735422740524781
home |home |homes,2014100317,9832,61,0.006204231082180635
home |home |homes,2014100214,12210,65,0.005323505323505323
home |home |homes,2014100318,9075,48,0.005289256198347108
home |home |homes,2014100215,11832,43,0.0036342123056119
home |home |homes,2014100319,8645,31,0.003585887796414112
home |home |homes,2014100216,10725,59,0.005501165501165501
home |home |homes,2014100312,10661,35,0.003282994090610637
home |home |homes,2014100217,9835,65,0.0066090493136756485
home |home |homes,2014100313,9887,39,0.003944573682613533
home |home |homes,2014100218,9907,53,0.005349752700111033
home |home |homes,2014100314,9820,50,0.0050916496945010185
home |home |homes,2014100219,11100,56,0.005045045045045045
home |home |homes,2014100420,8163,74,0.009065294622075218
home |home |homes,2014100315,10271,33,0.003212929607633142
home |home |homes,2014100120,12122,64,0.00527965682230655
home |home |homes,2014100421,8099,52,0.006420545746388443
home |home |homes,2014100422,8432,44,0.005218216318785579
home |home |homes,2014100423,6306,36,0.005708848715509039
home |home |homes,2014100310,10343,43,0.00415740114086822
home |home |homes,2014100311,11400,40,0.0035087719298245615
home |home |homes,2014100115,14152,46,0.003250423968343697
home |home |homes,2014100114,11535,35,0.003034243606415258
home |home |homes,2014100117,11365,50,0.004399472063352398
home |home |homes,2014100116,10904,59,0.0054108584005869405
home |home |homes,2014100111,9571,35,0.003656880158813081
home |home |homes,2014100110,9126,28,0.0030681569143107606
home |home |homes,2014100823,5727,31,0.0054129561725161516
home |home |homes,2014100113,11543,63,0.005457853244390539
home |home |homes,2014100822,900,6,0.006666666666666667
home |home |homes,2014100112,11651,56,0.004806454381598146
home |home |homes,2014100119,11403,55,0.004823292116109795
home |home |homes,2014100118,10294,38,0.0036914707596658247
home |home |homes,2014100604,4638,11,0.0023717119448037945
home |home |homes,2014100605,8675,3,3.45821325648415E-4
home |home |homes,2014100700,5207,12,0.0023045899750336087
home |home |homes,2014100914,3191,68,0.02130993418990912
home |home |homes,2014100602,8176,22,0.0026908023483365948
home |home |homes,2014100915,1000,3,0.003
home |home |homes,2014100603,9384,7,7.459505541346973E-4
home |home |homes,2014100912,2545,11,0.004322200392927309
home |home |homes,2014100608,13680,35,0.0025584795321637425
home |home |homes,2014100913,6771,112,0.016541131295229657
home |home |homes,2014100609,13287,53,0.003988861292993151
home |home |homes,2014100810,6053,36,0.005947464067404593
home |home |homes,2014100606,4334,10,0.0023073373327180432
home |home |homes,2014100607,6194,27,0.00435905715208266
home |home |homes,2014100707,4802,17,0.003540191586838817
home |home |homes,2014100813,7061,205,0.029032714912901856
